x1,x2,x3,x4,x5,Доходность,Риск,ESG
0.0000,0.3000,0.7000,0.0000,0.0000,21.90,31.90,4.70
0.0000,0.2800,0.7200,0.0000,0.0000,21.84,31.84,4.72
0.0000,0.2600,0.7400,0.0000,0.0000,21.78,31.78,4.74
0.0000,0.2400,0.7600,0.0000,0.0000,21.72,31.72,4.76
0.0000,0.2200,0.7800,0.0000,0.0000,21.66,31.66,4.78
0.0000,0.2000,0.8000,0.0000,0.0000,21.60,31.60,4.80
0.0000,0.1800,0.8200,0.0000,0.0000,21.54,31.54,4.82
0.0000,0.1600,0.8400,0.0000,0.0000,21.48,31.48,4.84
0.0000,0.1400,0.8600,0.0000,0.0000,21.42,31.42,4.86
0.0000,0.1200,0.8800,0.0000,0.0000,21.36,31.36,4.88
0.0000,0.1000,0.9000,0.0000,0.0000,21.30,31.30,4.90
0.0000,0.0800,0.9200,0.0000,0.0000,21.24,31.24,4.92
0.0000,0.0600,0.9400,0.0000,0.0000,21.18,31.18,4.94
0.0000,0.0400,0.9600,0.0000,0.0000,21.12,31.12,4.96
0.0000,0.0200,0.9800,0.0000,0.0000,21.06,31.06,4.98
0.0000,0.0000,1.0000,0.0000,0.0000,21.00,31.00,5.00
0.0000,0.0000,0.9800,0.0200,0.0000,20.94,30.94,5.02
0.0000,0.0000,0.9600,0.0400,0.0000,20.88,30.88,5.04
0.0000,0.0000,0.9400,0.0600,0.0000,20.82,30.82,5.06
0.0000,0.0000,0.9200,0.0800,0.0000,20.76,30.76,5.08
0.0000,0.0000,0.9000,0.1000,0.0000,20.70,30.70,5.10
0.0000,0.0000,0.8800,0.1200,0.0000,20.64,30.64,5.12
0.0000,0.0000,0.8600,0.1400,0.0000,20.58,30.58,5.14
0.0000,0.0000,0.8400,0.1600,0.0000,20.52,30.52,5.16
0.0000,0.0000,0.8200,0.1800,0.0000,20.46,30.46,5.18
0.0000,0.0000,0.8000,0.2000,0.0000,20.40,30.40,5.20
0.0000,0.0000,0.7800,0.2200,0.0000,20.34,30.34,5.22
0.0000,0.0000,0.7600,0.2400,0.0000,20.28,30.28,5.24
0.0000,0.0000,0.7400,0.2600,0.0000,20.22,30.22,5.26
0.0000,0.0000,0.7200,0.2800,0.0000,20.16,30.16,5.28
0.0000,0.0000,0.7000,0.3000,0.0000,20.10,30.10,5.30
0.0000,0.0000,0.6800,0.3200,0.0000,20.04,30.04,5.32
0.0000,0.0000,0.6600,0.3400,0.0000,19.98,29.98,5.34
0.0000,0.0000,0.6400,0.3600,0.0000,19.92,29.92,5.36
0.0000,0.0000,0.6200,0.3800,0.0000,19.86,29.86,5.38
0.0000,0.0000,0.6000,0.4000,0.0000,19.80,29.80,5.40
0.0000,0.0000,0.5800,0.4200,0.0000,19.74,29.74,5.42
0.0000,0.0000,0.5600,0.4400,0.0000,19.68,29.68,5.44
0.0000,0.0000,0.5400,0.4600,0.0000,19.62,29.62,5.46
0.0000,0.0000,0.5200,0.4800,0.0000,19.56,29.56,5.48
0.0000,0.0000,0.5000,0.5000,0.0000,19.50,29.50,5.50
0.0000,0.0000,0.4800,0.5200,0.0000,19.44,29.44,5.52
0.0000,0.0000,0.4600,0.5400,0.0000,19.38,29.38,5.54
0.0000,0.0000,0.4400,0.5600,0.0000,19.32,29.32,5.56
0.0000,0.0000,0.4200,0.5800,0.0000,19.26,29.26,5.58
0.0000,0.0000,0.4000,0.6000,0.0000,19.20,29.20,5.60
0.0000,0.0000,0.3800,0.6200,0.0000,19.14,29.14,5.62
0.0000,0.0000,0.3600,0.6400,0.0000,19.08,29.08,5.64
0.0000,0.0000,0.3400,0.6600,0.0000,19.02,29.02,5.66
0.0000,0.0000,0.3200,0.6800,0.0000,18.96,28.96,5.68
0.0000,0.0000,0.3000,0.7000,0.0000,18.90,28.90,5.70
0.0000,0.0000,0.2800,0.7200,0.0000,18.84,28.84,5.72
0.0000,0.0000,0.2600,0.7400,0.0000,18.78,28.78,5.74
0.0000,0.0000,0.2400,0.7600,0.0000,18.72,28.72,5.76
0.0000,0.0000,0.2200,0.7800,0.0000,18.66,28.66,5.78
0.0000,0.0000,0.2000,0.8000,0.0000,18.60,28.60,5.80
0.0000,0.0000,0.1800,0.8200,0.0000,18.54,28.54,5.82
0.0000,0.0000,0.1600,0.8400,0.0000,18.48,28.48,5.84
0.0000,0.0000,0.1400,0.8600,0.0000,18.42,28.42,5.86
0.0000,0.0000,0.1200,0.8800,0.0000,18.36,28.36,5.88
0.0000,0.0000,0.1000,0.9000,0.0000,18.30,28.30,5.90
0.0000,0.0000,0.0800,0.9200,0.0000,18.24,28.24,5.92
0.0000,0.0000,0.0600,0.9400,0.0000,18.18,28.18,5.94
0.0000,0.0000,0.0400,0.9600,0.0000,18.12,28.12,5.96
0.0000,0.0000,0.0200,0.9800,0.0000,18.06,28.06,5.98
0.0000,0.0000,0.0000,1.0000,0.0000,18.00,28.00,6.00
0.0000,0.0000,0.0000,0.9800,0.0200,17.80,27.68,6.08
0.0000,0.0000,0.0000,0.9600,0.0400,17.60,27.36,6.16
0.0000,0.0000,0.0000,0.9400,0.0600,17.40,27.04,6.24
0.0000,0.0000,0.0000,0.9200,0.0800,17.20,26.72,6.32
0.0000,0.0000,0.0000,0.9000,0.1000,17.00,26.40,6.40
0.0000,0.0000,0.0000,0.8800,0.1200,16.80,26.08,6.48
0.0000,0.0000,0.0000,0.8600,0.1400,16.60,25.76,6.56
0.0000,0.0000,0.0000,0.8400,0.1600,16.40,25.44,6.64
0.0000,0.0000,0.0000,0.8200,0.1800,16.20,25.12,6.72
0.0000,0.0000,0.0000,0.8000,0.2000,16.00,24.80,6.80
0.0000,0.0000,0.0000,0.7800,0.2200,15.80,24.48,6.88
0.0000,0.0000,0.0000,0.7600,0.2400,15.60,24.16,6.96
0.0000,0.0000,0.0000,0.7400,0.2600,15.40,23.84,7.04
0.0000,0.0000,0.0000,0.7200,0.2800,15.20,23.52,7.12
0.0000,0.0000,0.0000,0.7000,0.3000,15.00,23.20,7.20
0.0000,0.0000,0.0000,0.6800,0.3200,14.80,22.88,7.28
0.0000,0.0000,0.0000,0.6600,0.3400,14.60,22.56,7.36
0.0000,0.0000,0.0000,0.6400,0.3600,14.40,22.24,7.44
0.0000,0.0000,0.0000,0.6200,0.3800,14.20,21.92,7.52
0.0000,0.0000,0.0000,0.6000,0.4000,14.00,21.60,7.60
0.0000,0.0000,0.0000,0.5800,0.4200,13.80,21.28,7.68
0.0000,0.0000,0.0000,0.5600,0.4400,13.60,20.96,7.76
